series,repeat_index,mode,workload,target_sql_bytes,actual_sql_bytes,iterations,warmup,total_operations,ok_operations,error_operations,wall_total_s,throughput_ops_s,avg_us,min_us,p50_us,p95_us,p99_us,max_us,avg_alloc_bytes,p50_alloc_bytes,p95_alloc_bytes,max_alloc_bytes,avg_peak_live_bytes,p50_peak_live_bytes,p95_peak_live_bytes,max_peak_live_bytes,avg_retained_bytes,p50_retained_bytes,p95_retained_bytes,max_retained_bytes,error_message
single_call_parse,2,native-parse,insert-values,32768,32768,1000,100,1000,1000,0,10.587459577,94.4514,10511.0053,10392.808,10479.629,10603.463,11317.792,16611.467,2221581.0,2221581,2221581,2221581,2188757.0,2188757,2188757,2188757,68605.0,68605,68605,68605,
single_call_parse,3,native-parse,insert-values,32768,32768,1000,100,1000,1000,0,10.585157248,94.4719,10509.651,10393.396,10481.665,10609.467,11257.453,12823.966,2221581.0,2221581,2221581,2221581,2188757.0,2188757,2188757,2188757,68605.0,68605,68605,68605,
single_call_parse,1,sqlparser-parse,insert-values,32768,32768,1000,100,1000,1000,0,11.866791907,84.2688,11866.1524,11759.167,11848.573,11957.186,12134.954,14084.894,2888436.0,2888436,2888436,2888436,2188757.0,2188757,2188757,2188757,101487.0,101487,101487,101487,
single_call_parse,2,sqlparser-parse,insert-values,32768,32768,1000,100,1000,1000,0,11.882125452,84.16,11881.4345,11773.235,11865.136,11972.402,12172.0,14085.837,2888436.0,2888436,2888436,2888436,2188757.0,2188757,2188757,2188757,101487.0,101487,101487,101487,
single_call_parse,3,sqlparser-parse,insert-values,32768,32768,1000,100,1000,1000,0,11.861186738,84.3086,11860.5158,11739.412,11843.814,11955.319,12143.316,13713.757,2888436.0,2888436,2888436,2888436,2188757.0,2188757,2188757,2188757,101487.0,101487,101487,101487,
single_call_parse,1,native-parse,insert-values,65536,65536,500,50,500,500,0,10.154091324,49.2412,20176.8685,20031.632,20153.184,20299.323,20587.926,22070.513,4465357.0,4465357,4465357,4465357,4383333.0,4383333,4383333,4383333,135853.0,135853,135853,135853,
single_call_parse,2,native-parse,insert-values,65536,65536,500,50,500,500,0,10.144060524,49.2899,20157.8721,20009.008,20131.586,20268.624,20440.979,22147.799,4465357.0,4465357,4465357,4465357,4383333.0,4383333,4383333,4383333,135853.0,135853,135853,135853,
single_call_parse,3,native-parse,insert-values,65536,65536,500,50,500,500,0,10.163849279,49.194,20197.8432,20055.663,20179.179,20317.792,20575.159,22186.336,4465357.0,4465357,4465357,4465357,4383333.0,4383333,4383333,4383333,135853.0,135853,135853,135853,
single_call_parse,1,sqlparser-parse,insert-values,65536,65536,500,50,500,500,0,11.3645059,43.9966,22728.2371,22562.794,22698.59,22885.104,23216.303,24859.456,5822100.0,5822100,5822100,5822100,4383333.0,4383333,4383333,4383333,201503.0,201503,201503,201503,
single_call_parse,2,sqlparser-parse,insert-values,65536,65536,500,50,500,500,0,11.431213617,43.7399,22861.6625,22691.558,22823.334,23001.199,23651.557,25066.425,5822100.0,5822100,5822100,5822100,4383333.0,4383333,4383333,4383333,201503.0,201503,201503,201503,
single_call_parse,3,sqlparser-parse,insert-values,65536,65536,500,50,500,500,0,11.429167048,43.7477,22857.5463,22685.819,22824.314,23004.471,23673.348,24975.981,5822100.0,5822100,5822100,5822100,4383333.0,4383333,4383333,4383333,201503.0,201503,201503,201503,
